序号,洲,国家,英文全称,英文缩写,中文译名,完成人
39,亚洲,阿曼苏丹国,Accreditation Unit Directorate General/r/nfor Standards and Metrology/r/nMinistry of Commerce and Industry,/,阿曼苏丹商工部标准与计量局认可处,唐伟
40,亚洲,沙特阿拉伯,Saudi Standards; Metrology and Quality Org.,SASO,沙特标准、计量与质量局,唐伟
41,亚洲,海湾合作委员会国家（成员国包括：阿联酋、阿曼、巴林、卡塔尔、科威特和沙特阿拉伯、也门）,Gulf Cooperation Council Accreditation Center ,GAC,海湾合作委员会认可中心,唐伟
42,亚洲,泰国,National Standardisation Council of Thailand,NSC,泰国国家标准化委员会,唐伟
43,亚洲,印度,National Accreditation Board for Certification Bodies ,NABCB,印度认证机构国家认可委员会,唐伟
44,亚洲,印度,National Accreditation Board for Testing and Calibration Laboratories , NABL,印度检测和校准实验室国家认可委员会,唐伟
45,亚洲,日本,International Accreditation Japan,IAJAPAN,日本国际认可,唐伟
46,亚洲,日本,The Japan Accreditation Board,JAB,日本认可委员会,唐伟
47,亚洲,日本,Japan Accreditation System for Product Certification Bodies of JIS Mark   ,JASC,日本JIS标识产品认证机构认可体系,唐伟
48,亚洲,日本,ISMS Accreditation Center ,ISMS-AC,日本信息安全管理体系认可中心,唐伟
49,亚洲,日本,Voluntary EMC Laboratory Accreditation Center INC ,VLAC,日本自愿性电磁兼容实验室认可中心,唐伟
50,亚洲,日本,Japan Laboratories Association,JLA,日本实验室协会,唐伟
51,亚洲,韩国,Korea Accreditation Board,KAB,韩国认可委员会,唐伟
52,亚洲,韩国,Korea Accreditation Service,KAS,韩国认可服务机构,唐伟
53,亚洲,韩国,National Institute of Environmental Research ,NIER,韩国国家环境研究院,唐伟
54,亚洲,韩国,Korea Laboratory Accreditation Scheme ,KOLAS,韩国实验室认可机构,唐伟
55,亚洲,阿塞拜疆,Azerbaijan Accreditation Centre,AZAK,阿塞拜疆认可中心,唐伟
56,欧洲,挪威,Norwegian Accreditation ,NA,挪威认可,唐伟
57,欧洲,奥地利,Akkreditierung Austria,/,奥地利认可,唐伟
58,欧洲,比利时,Belgian Accreditation Structure,BELAC,比利时认可机构,唐伟
59,欧洲,丹麦,Danish Accreditation,DANAK,丹麦认可,唐伟
60,欧洲,芬兰,Finnish Accreditation Service,FINAS,芬兰认可服务机构,唐伟
61,欧洲,法国,Comite Francais d'Accreditation,COFRAC,法国认可委员会,唐伟
62,欧洲,德国,Deutsche Akkreditierungsstelle GmbH,DAkkS,德意志认可有限公司,唐伟
63,欧洲,希腊, Hellenic Accreditation System ,ESYD,希腊认可体系,唐伟
64,欧洲,爱尔兰,Irish National Accreditation Board, INAB,爱尔兰国家认可委员会,唐伟
65,欧洲,意大利, L’Ente Italiano di Accreditamento,ACCREDIA ,意大利国家认可机构,唐伟
66,欧洲,卢森堡, Luxembourg Office of Accreditation/Office Luxembourgeois d'Accreditation et de Surveillance,OLAS,卢森堡认可办公室,唐伟
67,欧洲,荷兰,Dutch Accreditation Council /Raad Voor Accreditatie ,RvA,荷兰认可委员会,唐伟
68,欧洲,葡萄牙, Portuguese Institute for Accreditation /Instituto Portugues de Acreditacao,IPAC ,葡萄牙认可机构,唐伟
69,欧洲,西班牙,Entidad Nacional de Acreditacion,ENAC,西班牙国家认可机构,唐伟
70,欧洲,瑞典,Swedish Board for Accreditation and Conformity Assessment,SWEDAC,瑞典合格评定认可委员会,唐伟
71,欧洲,英国, United Kingdom Accreditation Service ,UKAS,英国认可服务机构,唐伟
72,欧洲,拉脱维亚,Latvian National Accreditation Bureau,LATAK,拉脱维亚国家认可局,唐伟
73,欧洲,波兰,Polish Centre for Accreditation ,PCA ,波兰认可中心,唐伟
74,欧洲,捷克,Czech Accreditation Institute,CAI,捷克认可机构,唐伟
75,欧洲,斯洛文尼亚,Slovenian Accreditation/Slovenska akreditacija ,SA,斯洛文尼亚认可,唐伟
76,欧洲,斯洛伐克,Slovak National Accreditation Service,SNAS,斯洛伐克国家认可服务机构,唐伟
77,欧洲,爱沙尼亚,Estonian Accreditation Centre,EAK,爱沙尼亚认可中心,唐伟
78,欧洲,立陶宛,Lithuanian National Accreditation Bureau,LA,立陶宛国家认可局,唐伟
79,欧洲,马耳他,National Accreditation Board,NAB-Malta,马耳他国家认可委员会,唐伟
80,欧洲,塞浦路斯,Cyprus Organization for the Promotion of Quality,CYS-CYSAB,塞浦路斯质量促进机构,唐伟
81,欧洲,罗马尼亚, Romanian Accreditation Association /Asociatia de Acreditare din Romania ,RENAR  ,罗马尼亚认可协会,唐伟
82,欧洲,保加利亚,Executive Agency - Bulgarian Accreditation Service, EA-BAS ,保加利亚认可服务机构—执行部,唐伟
83,欧洲,克罗地亚,Croatian Accreditation Agency,HAA,克罗地亚认可机构,唐伟
84,欧洲,土耳其,Turkish Accreditation Agency, TURKAK ,土耳其认可机构,唐伟
85,欧洲,马其顿, Institute for Accreditation of the Republic of Macedonia, IARM ,马其顿共和国认可机构,唐伟
86,欧洲,瑞士,Swiss Accreditation Service,SAS,瑞士认可服务机构,唐伟
87,欧洲,波黑,Institute for Accreditation of Bosnia and Herzegovina,BATA,波斯尼亚和黑塞哥维那认可机构,唐伟
88,欧洲,乌克兰, National Accreditation Agency of Ukraine, NAAU,乌克兰国家认可机构,唐伟
89,欧洲,塞尔维亚,Accreditation Body of Serbia,ATS,塞尔维亚认可机构,唐伟
90,欧洲,匈牙利, National Accreditation Authority,NAH  ,匈牙利国家认可机构,唐伟
91,欧洲,阿尔巴尼亚, General Directorate of Accreditation ,DPA,阿尔巴尼亚认可局,唐伟
92,欧洲,白俄罗斯, Belarusian State Centre for Accreditation , BSCA ,白俄罗斯认可中心,唐伟
93,欧洲,冰岛,Icelandic Board for Technical Accreditation ,ISAC,冰岛技术认可委员会,唐伟
94,欧洲,黑山,Accreditation Body of Montenegro,ATCG,黑山共和国认可机构,唐伟
95,欧洲,科索沃,Kosovo Accreditation Directorate, DAK,科索沃认可局,唐伟
96,欧洲,摩尔多瓦,National Accreditation Center of the republic of Moldova  ,MOLDAC,摩尔多瓦共和国国家认可中心,唐伟
97,欧洲,俄罗斯,Federal Service for Accreditation,RusAccreditation,俄罗斯联邦认可局,唐伟
98,欧洲,俄罗斯, Scientific Technical Centre on Industrial Safety ,STC-IS,俄罗斯工业安全科技中心,唐伟
99,美洲,墨西哥, Mexican Accreditation Entity/Entidad Mexicana de Acreditacion ,EMA,墨西哥认可机构,唐伟
100,美洲,阿根廷,Organismo Argentino de Acreditacion ,OAA,阿根廷认可机构,唐伟
101,美洲,巴西,General Coordination for Accreditation/Coordenacao Geral de Acreditacao ,Cgcre,巴西认可综合协调机构,唐伟
102,美洲,智利,National Standardization Institute/Instituto Nacional de Normalizacion ,INN,智利国家标准化机构,唐伟
103,美洲,哥伦比亚,National Accreditation Body of Colombia/Organismo Nacional de Acreditación de Colombia  , ONAC,哥伦比亚国家认可机构,唐伟
104,美洲,哥斯达黎加, Costa Rican Accreditation Entity/Ente Costarricense de Acreditación    ,ECA,哥斯达黎加认可机构,唐伟
105,美洲,古巴,National Accreditation Body of the Republic of Cuba/Organo Nacional de Acreditación de la República de Cuba,ONARC,古巴共和国国家认可机构,唐伟
106,美洲,厄瓜多尔,Ecuadorian Accreditation Service/Servicio de Acreditación Ecuatoriano ,SAE,厄瓜多尔认可服务机构,唐伟
107,美洲,危地马拉,Guatemalan Accreditation Bureau/Oficina Guatemalteca de Acreditación ?,OGA,危地马拉认可局,唐伟
108,美洲,牙买加,Jamaica National Agency for Accreditation, JANAAC,牙买加国家认可机构,唐伟
109,美洲,尼加拉瓜,National Accreditation Office/Oficina Nacional de Acreditación,ONA,尼加拉瓜国家认可办公室,唐伟
110,美洲,巴拉圭,National Accreditation Body/ Organismo Nacional de Acreditación ,ONA,巴拉圭国家认可机构,唐伟
111,美洲,秘鲁,National Institute of Quality-Directorate of Accreditation , INACAL-DA ,秘鲁国家质量机构—认可处,唐伟
112,美洲,特立尼达和多巴哥,Trinidad & Tobago Laboratory Accreditation Services ,TTLABS,特立尼达和多巴哥实验室认可服务机构,唐伟
113,美洲,乌拉圭,Uruguayan Accreditation Body/Organismo Uruguayo de Acreditacion, OUA,乌拉圭认可机构,唐伟
114,美洲,多明尼加,Dominican Accreditation Body/Organismo Dominicano de Acreditación ,ODAC,多明尼加认可机构,唐伟
115,美洲,巴拿马,National Accreditation Council/Consejo Nacional de Acreditación , CAN,巴拿马国家认可委员会,唐伟
116,美洲,萨尔瓦多,Salvadoran Accreditation Body/Organismo Salvadore?o de Acreditación,OSA,萨尔瓦多认可机构,唐伟
117,美洲,洪都拉斯,Organismo Hondure?o de Acreditación ,OHA,洪都拉斯认可机构,唐伟
118,美洲,加拿大,Standards Council of Canada, SCC ,加拿大标准委员会,唐伟
119,美洲,加拿大,Canadian Association for Laboratory Accreditation Inc.,CALA,加拿大实验室认可协会,唐伟
120,美洲,加拿大,Institute for Quality Management in Healthcare,IQMH,加拿大医疗保健质量管理研究所,唐伟
121,美洲,美国,American National Standards Institute ,ANSI ,美国国家标准学会,唐伟
122,美洲,美国,International Accreditation Service ,IAS   ,美国国际认可服务机构,唐伟
123,美洲,美国, International Organic Accreditation Service,IOAS,美国国际有机认可服务机构,唐伟
124,美洲,美国,American Association for Laboratory Accreditation ,A2LA,美国实验室认可协会,唐伟
125,美洲,美国,American National Standards Institute—American Society for Quality—National Accreditation Board LLC ,ANSI-ASQ-ANAB,美国国家标准学会-美国质量协会-美国国家认可委员会,唐伟
126,美洲,美国,Association of Official Analytical Chemists AOAC International,AOAC,国际AOAC官方分析化学家协会,唐伟
127,美洲,美国,National Voluntary Laboratory Accreditation Program, NVLAP,美国国家自愿性实验室认可程序,唐伟
128,美洲,美国,Perry Johnson Laboratory Accreditation; Inc ,PJLA,佩里·约翰逊实验室认可公司,唐伟
129,美洲,美国,American Industrial Hygiene Association; Laboratory Accreditation Program, AIHA-LAP,美国工业卫生协会—实验室认可程序,唐伟
130,美洲,美国, United Accreditation Foundation, UAF,美国认可基金会,唐伟
131,美洲,美国,American Council of Independent Laboratories,ACIL,美国独立实验室委员会,唐伟
132,大洋洲,巴布亚新几内亚,Papua New Guinea Laboratory Accreditation Scheme,PNGLAS,巴布亚新几内亚认可计划,唐伟
133,大洋洲,新西兰,International Accreditation New Zealand,IANZ,新西兰国际认可,唐伟
134,大洋洲,澳大利亚、新西兰,Joint Accreditation System of Australia and New Zealand,JAS-ANZ,澳大利亚和新西兰联合认可体系,唐伟
135,大洋洲,澳大利亚,National Association of Testing Authorities; Australia,NATA,澳大利亚国家检测机构协会,唐伟
